date,open
2017-12-29,51.76
2017-12-28,51.65
2017-12-27,51.45
2017-12-22,51.05
2017-12-21,51.16
2017-12-20,51.88
2017-12-19,52.73
2017-12-18,52.37
2017-12-15,52.7
2017-12-14,53.11
2017-12-13,52.64
2017-12-12,52.29
2017-12-11,52.28
2017-12-08,51.5
2017-12-07,50.89
2017-12-06,50.8
2017-12-05,51.21
2017-12-04,49.5
2017-12-01,49.52
2017-11-30,48.64
2017-11-29,49.64
2017-11-28,49.09
2017-11-27,49.13
2017-11-24,49.11
2017-11-23,48.8
2017-11-22,48.4
2017-11-21,47.25
2017-11-20,46.57
2017-11-17,47.03
2017-11-16,47.09
2017-11-15,47.98
2017-11-14,48.4
2017-11-13,48.38
2017-11-10,47.3
2017-11-09,47.65
2017-11-08,46.42
2017-11-07,46.16
2017-11-06,45.81
2017-11-03,45.0
2017-11-02,45.88
2017-11-01,46.29
2017-10-30,46.53
2017-10-27,45.48
2017-10-26,45.2
2017-10-25,45.01
2017-10-24,45.16
2017-10-23,44.9
2017-10-20,45.08
2017-10-19,45.72
2017-10-18,46.01
2017-10-17,45.8
2017-10-16,45.61
2017-10-13,45.5
2017-10-12,45.58
2017-10-11,45.97
2017-10-10,45.64
2017-10-09,46.2
2017-10-06,46.19
2017-10-05,46.01
2017-10-04,45.36
2017-10-02,44.51
2017-09-29,43.58
2017-09-28,42.0
2017-09-27,42.35
2017-09-26,42.3
2017-09-25,42.3
2017-09-22,41.48
2017-09-21,42.29
2017-09-20,42.54
2017-09-19,42.65
2017-09-18,42.5
2017-09-15,42.29
2017-09-14,42.35
2017-09-13,42.49
2017-09-12,43.21
2017-09-11,42.81
2017-09-08,42.7
2017-09-07,43.0
2017-09-06,42.66
2017-09-05,43.0
2017-09-04,42.38
2017-09-01,42.16
2017-08-31,42.0
2017-08-30,42.0
2017-08-29,41.71
2017-08-28,42.11
2017-08-25,42.64
2017-08-24,42.72
2017-08-23,42.82
2017-08-22,42.46
2017-08-21,42.42
2017-08-18,42.28
2017-08-17,41.88
2017-08-16,42.4
2017-08-15,42.53
2017-08-14,42.12
2017-08-11,41.3
2017-08-10,41.73
2017-08-09,43.5
2017-08-08,44.9
2017-08-07,45.85
2017-08-04,45.13
2017-08-03,45.34
2017-08-02,45.25
2017-08-01,45.24
2017-07-31,44.94
2017-07-28,45.26
2017-07-27,45.16
2017-07-26,44.91
2017-07-25,44.7
2017-07-24,45.31
2017-07-21,45.57
2017-07-20,45.74
2017-07-19,45.06
2017-07-18,45.5
2017-07-17,45.6
2017-07-14,45.07
2017-07-13,44.67
2017-07-12,44.29
2017-07-11,44.94
2017-07-10,44.64
2017-07-07,44.79
2017-07-06,45.5
2017-07-05,44.67
2017-07-04,45.83
2017-07-03,45.29
2017-06-30,45.01
2017-06-29,45.73
2017-06-28,46.68
2017-06-27,47.23
2017-06-26,46.95
2017-06-23,47.29
2017-06-22,47.03
2017-06-21,47.46
2017-06-20,46.48
2017-06-19,46.9
2017-06-16,45.66
2017-06-15,46.34
2017-06-14,46.52
2017-06-13,46.5
2017-06-12,47.31
2017-06-09,46.77
2017-06-08,47.8
2017-06-07,47.01
2017-06-06,47.12
2017-06-02,46.8
2017-06-01,46.12
2017-05-31,45.22
2017-05-30,45.05
2017-05-29,45.61
2017-05-26,44.8
2017-05-25,44.8
2017-05-24,43.92
2017-05-23,43.67
2017-05-22,44.16
2017-05-19,43.74
2017-05-18,44.0
2017-05-17,45.06
2017-05-16,45.15
2017-05-15,45.09
2017-05-12,45.18
2017-05-11,43.4
2017-05-10,43.5
2017-05-09,41.83
2017-05-08,43.0
2017-05-05,42.52
2017-05-04,41.86
2017-05-03,42.2
2017-05-02,41.89
2017-05-01,42.17
2017-04-28,42.17
2017-04-27,41.51
2017-04-26,41.88
2017-04-25,41.93
2017-04-24,42.01
2017-04-21,41.97
2017-04-20,42.5
2017-04-19,41.94
2017-04-18,42.24
2017-04-17,42.06
2017-04-14,42.06
2017-04-13,42.06
2017-04-12,42.02
2017-04-11,41.62
2017-04-10,41.46
2017-04-07,40.9
2017-04-06,40.96
2017-04-05,41.1
2017-04-04,39.5
2017-04-03,40.15
2017-03-31,39.77
2017-03-30,40.02
2017-03-29,39.39
2017-03-28,38.95
2017-03-27,38.73
2017-03-24,38.94
2017-03-23,39.01
2017-03-22,38.25
2017-03-21,41.8
2017-03-20,41.26
2017-03-17,41.47
2017-03-16,41.4
2017-03-15,41.4
2017-03-14,41.2
2017-03-13,41.4
2017-03-10,41.53
2017-03-09,41.61
2017-03-08,41.13
2017-03-07,41.5
2017-03-06,41.25
